"year","number","name","seasonal.status","Municipality","total_docks","station.id","n_institutions_1km","n_mbta_1km","Lat","Long","population","month","avg_TMIN","avg_TMAX","avg_precip","total_trips","membership_total"
2020,"A32011","Innovation Lab - 125 Western Ave at Batten Way","Year Round","Boston",19,29,0,11,42.36371276,-71.12459779,675466,8,66.3,81.9,0.07,23,20
2020,"A32011","Innovation Lab - 125 Western Ave at Batten Way","Year Round","Boston",19,29,0,11,42.36371276,-71.12459779,675466,9,57.3,73.8,0.03,23,20
2020,"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","Year Round","Boston",27,41,0,12,42.352261,-71.123831,675466,6,60.6,77.8,0.09,387,272
2020,"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","Year Round","Boston",27,41,0,12,42.352261,-71.123831,675466,7,67.8,82.8,0.06,387,272
2020,"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","Year Round","Boston",27,41,0,12,42.352261,-71.123831,675466,8,66.3,81.9,0.07,387,272
2020,"A32012","Packard's Corner - Commonwealth Ave at Brighton Ave","Year Round","Boston",27,41,0,12,42.352261,-71.123831,675466,9,57.3,73.8,0.03,387,272
2020,"A32013","Surface Rd at India St","Year Round","Boston",19,151,5,31,42.358155,-71.052163,675466,6,60.6,77.8,0.09,140,73
2020,"A32013","Surface Rd at India St","Year Round","Boston",19,151,5,31,42.358155,-71.052163,675466,7,67.8,82.8,0.06,140,73
2020,"A32013","Surface Rd at India St","Year Round","Boston",19,151,5,31,42.358155,-71.052163,675466,8,66.3,81.9,0.07,140,73
2020,"A32013","Surface Rd at India St","Year Round","Boston",19,151,5,31,42.358155,-71.052163,675466,9,57.3,73.8,0.03,140,73
2020,"A32017","Commonwealth Ave at Griggs St","Year Round","Boston",15,66,0,12,42.34922469,-71.13275303,675466,6,60.6,77.8,0.09,200,151
2020,"A32017","Commonwealth Ave at Griggs St","Year Round","Boston",15,66,0,12,42.34922469,-71.13275303,675466,7,67.8,82.8,0.06,200,151
2020,"A32017","Commonwealth Ave at Griggs St","Year Round","Boston",15,66,0,12,42.34922469,-71.13275303,675466,8,66.3,81.9,0.07,200,151
2020,"A32017","Commonwealth Ave at Griggs St","Year Round","Boston",15,66,0,12,42.34922469,-71.13275303,675466,9,57.3,73.8,0.03,200,151
2020,"A32019","175 N Harvard St","Year Round","Boston",18,149,0,9,42.36447457,-71.12840831,675466,6,60.6,77.8,0.09,222,154
2020,"A32019","175 N Harvard St","Year Round","Boston",18,149,0,9,42.36447457,-71.12840831,675466,7,67.8,82.8,0.06,222,154
2020,"A32019","175 N Harvard St","Year Round","Boston",18,149,0,9,42.36447457,-71.12840831,675466,8,66.3,81.9,0.07,222,154
2020,"A32019","175 N Harvard St","Year Round","Boston",18,149,0,9,42.36447457,-71.12840831,675466,9,57.3,73.8,0.03,222,154
2020,"A32022","Edwards Playground - Main St at Eden St","Year Round","Boston",19,169,2,10,42.378965,-71.068607,675466,6,60.6,77.8,0.09,47,28
2020,"A32022","Edwards Playground - Main St at Eden St","Year Round","Boston",19,169,2,10,42.378965,-71.068607,675466,7,67.8,82.8,0.06,47,28
2020,"A32022","Edwards Playground - Main St at Eden St","Year Round","Boston",19,169,2,10,42.378965,-71.068607,675466,8,66.3,81.9,0.07,47,28
2020,"A32022","Edwards Playground - Main St at Eden St","Year Round","Boston",19,169,2,10,42.378965,-71.068607,675466,9,57.3,73.8,0.03,47,28
2020,"A32023","Bunker Hill Community College","Year Round","Boston",23,171,3,18,42.37408991,-71.06905997,675466,6,60.6,77.8,0.09,18,12
2020,"A32023","Bunker Hill Community College","Year Round","Boston",23,171,3,18,42.37408991,-71.06905997,675466,7,67.8,82.8,0.06,18,12
2020,"A32023","Bunker Hill Community College","Year Round","Boston",23,171,3,18,42.37408991,-71.06905997,675466,8,66.3,81.9,0.07,18,12
2020,"A32023","Bunker Hill Community College","Year Round","Boston",23,171,3,18,42.37408991,-71.06905997,675466,9,57.3,73.8,0.03,18,12
2020,"A32025","Nashua Street at Red Auerbach Way","Year Round","Boston",37,190,5,22,42.365673,-71.064263,675466,6,60.6,77.8,0.09,300,199
2020,"A32025","Nashua Street at Red Auerbach Way","Year Round","Boston",37,190,5,22,42.365673,-71.064263,675466,7,67.8,82.8,0.06,300,199
2020,"A32025","Nashua Street at Red Auerbach Way","Year Round","Boston",37,190,5,22,42.365673,-71.064263,675466,8,66.3,81.9,0.07,300,199
2020,"A32025","Nashua Street at Red Auerbach Way","Year Round","Boston",37,190,5,22,42.365673,-71.064263,675466,9,57.3,73.8,0.03,300,199
2020,"A32026","Purchase St at Pearl St","Year Round","Boston",19,192,6,32,42.354659,-71.053181,675466,6,60.6,77.8,0.09,84,51
